lead_id,created_date,industry,company_size,enquiry_type,response_time_hours,number_of_rfqs,converted,data_source
L008997,2025-09-01,Technology,1001+,Bulk order,12.01,2,0,synthetic_demo
L000154,2025-09-01,Healthcare,51-200,Price quote,10.14,2,0,synthetic_demo
L007618,2025-09-01,Technology,51-200,Supplier request,5.51,2,0,synthetic_demo
L003136,2025-09-01,Technology,51-200,Price quote,4.47,4,1,synthetic_demo
L009366,2025-09-02,Manufacturing,201-1000,Bulk order,1.5,5,1,synthetic_demo
L004512,2025-09-02,Healthcare,1-50,Product enquiry,3.52,1,0,synthetic_demo
L008559,2025-09-02,Retail,201-1000,Bulk order,17.21,1,0,synthetic_demo
L011749,2025-09-02,Retail,51-200,Price quote,13.78,1,0,synthetic_demo
L010218,2025-09-02,Manufacturing,51-200,Product enquiry,13.49,2,0,synthetic_demo
L004479,2025-09-02,Technology,201-1000,Price quote,3.78,3,1,synthetic_demo
L006303,2025-09-02,Healthcare,1-50,Supplier request,16.46,1,0,synthetic_demo
L007187,2025-09-02,Manufacturing,1001+,Product enquiry,18.37,1,0,synthetic_demo
L008226,2025-09-02,Manufacturing,201-1000,Product enquiry,13.41,3,0,synthetic_demo
L001703,2025-09-02,Retail,1-50,Price quote,1.05,0,0,synthetic_demo
L002182,2025-09-02,Construction,201-1000,Product enquiry,6.64,0,0,synthetic_demo
L008801,2025-09-02,Manufacturing,1-50,Price quote,19.05,2,0,synthetic_demo
L002094,2025-09-02,Manufacturing,201-1000,Bulk order,1.89,1,1,synthetic_demo
L002097,2025-09-02,Manufacturing,201-1000,Price quote,15.9,0,0,synthetic_demo
L009629,2025-09-02,Construction,51-200,Bulk order,23.88,2,0,synthetic_demo
L005922,2025-09-02,Manufacturing,1001+,Price quote,4.21,2,0,synthetic_demo
L004308,2025-09-02,Retail,51-200,Supplier request,11.33,1,1,synthetic_demo
L004312,2025-09-02,Technology,201-1000,Supplier request,13.68,2,0,synthetic_demo
L001979,2025-09-02,Technology,1001+,Price quote,6.4,0,1,synthetic_demo
L005443,2025-09-02,Technology,201-1000,Supplier request,5.87,2,0,synthetic_demo
L007617,2025-09-02,Retail,1001+,Product enquiry,17.14,3,0,synthetic_demo
L000738,2025-09-02,Retail,1001+,Product enquiry,11.39,1,1,synthetic_demo
L008346,2025-09-02,Healthcare,1001+,Bulk order,2.75,2,1,synthetic_demo
L011557,2025-09-02,Manufacturing,201-1000,Price quote,8.18,3,0,synthetic_demo
L008765,2025-09-02,Retail,1-50,Bulk order,18.91,0,0,synthetic_demo
L005647,2025-09-02,Healthcare,51-200,Supplier request,6.28,3,0,synthetic_demo
L005063,2025-09-02,Retail,201-1000,Product enquiry,4.95,3,1,synthetic_demo
L000104,2025-09-02,Construction,51-200,Bulk order,20.35,4,1,synthetic_demo
L003653,2025-09-02,Retail,201-1000,Supplier request,7.75,2,0,synthetic_demo
L011621,2025-09-02,Technology,1-50,Bulk order,21.58,3,0,synthetic_demo
L005589,2025-09-02,Retail,51-200,Supplier request,7.6,1,1,synthetic_demo
L011007,2025-09-02,Technology,201-1000,Price quote,14.19,0,0,synthetic_demo
L009974,2025-09-02,Retail,1-50,Supplier request,7.46,3,0,synthetic_demo
L008016,2025-09-02,Manufacturing,1-50,Price quote,16.55,4,0,synthetic_demo
L005735,2025-09-02,Manufacturing,1001+,Product enquiry,23.57,7,1,synthetic_demo
L003432,2025-09-02,Healthcare,201-1000,Supplier request,17.59,3,0,synthetic_demo
L002561,2025-09-02,Healthcare,51-200,Price quote,18.39,2,1,synthetic_demo
L007283,2025-09-02,Manufacturing,201-1000,Supplier request,5.21,3,0,synthetic_demo
L006190,2025-09-02,Healthcare,201-1000,Price quote,27.21,3,0,synthetic_demo
L006621,2025-09-02,Technology,1-50,Product enquiry,6.56,3,0,synthetic_demo
L001439,2025-09-02,Construction,51-200,Product enquiry,2.87,4,0,synthetic_demo
L007396,2025-09-02,Construction,201-1000,Product enquiry,3.08,3,0,synthetic_demo
L011800,2025-09-02,Retail,1-50,Price quote,5.94,1,0,synthetic_demo
L006692,2025-09-02,Manufacturing,51-200,Price quote,2.17,2,1,synthetic_demo
L008518,2025-09-02,Manufacturing,1001+,Price quote,4.0,5,1,synthetic_demo
L003307,2025-09-02,Manufacturing,51-200,Bulk order,2.38,2,1,synthetic_demo
L010706,2025-09-03,Healthcare,1001+,Bulk order,13.18,0,1,synthetic_demo
L003293,2025-09-03,Healthcare,201-1000,Product enquiry,13.36,1,0,synthetic_demo
L008531,2025-09-03,Healthcare,51-200,Supplier request,9.36,1,1,synthetic_demo
L004821,2025-09-03,Technology,51-200,Bulk order,12.07,4,1,synthetic_demo
L000611,2025-09-03,Healthcare,201-1000,Product enquiry,6.98,3,0,synthetic_demo
L004043,2025-09-03,Manufacturing,1-50,Supplier request,13.1,1,0,synthetic_demo
L005940,2025-09-03,Technology,201-1000,Product enquiry,26.11,2,0,synthetic_demo
L008784,2025-09-03,Manufacturing,51-200,Price quote,7.95,4,0,synthetic_demo
L000965,2025-09-03,Construction,51-200,Supplier request,5.87,1,0,synthetic_demo
L006522,2025-09-03,Retail,1-50,Price quote,7.73,1,0,synthetic_demo
L000748,2025-09-03,Retail,51-200,Supplier request,18.81,1,0,synthetic_demo
L006371,2025-09-03,Construction,201-1000,Supplier request,23.04,4,0,synthetic_demo
L010764,2025-09-03,Technology,51-200,Bulk order,7.35,4,0,synthetic_demo
L003680,2025-09-03,Manufacturing,201-1000,Product enquiry,4.38,1,0,synthetic_demo
L009801,2025-09-03,Manufacturing,51-200,Bulk order,9.65,3,1,synthetic_demo
L004358,2025-09-03,Retail,51-200,Product enquiry,3.83,1,0,synthetic_demo
L008450,2025-09-03,Technology,51-200,Product enquiry,15.22,3,0,synthetic_demo
L009237,2025-09-03,Retail,51-200,Product enquiry,9.69,1,0,synthetic_demo
L009236,2025-09-03,Retail,51-200,Supplier request,16.66,5,1,synthetic_demo
L008807,2025-09-03,Manufacturing,201-1000,Price quote,13.09,1,0,synthetic_demo
L008212,2025-09-03,Construction,201-1000,Price quote,7.54,1,1,synthetic_demo
L003667,2025-09-03,Manufacturing,201-1000,Supplier request,1.79,1,0,synthetic_demo
L005216,2025-09-03,Retail,51-200,Price quote,16.84,2,0,synthetic_demo
L003595,2025-09-03,Manufacturing,201-1000,Price quote,9.64,4,1,synthetic_demo
L000216,2025-09-03,Technology,1-50,Product enquiry,2.25,6,1,synthetic_demo
L003417,2025-09-03,Healthcare,51-200,Bulk order,2.69,1,1,synthetic_demo
L011525,2025-09-03,Construction,1001+,Price quote,4.3,2,0,synthetic_demo
L011330,2025-09-03,Construction,1001+,Bulk order,3.36,2,0,synthetic_demo
L010332,2025-09-03,Technology,51-200,Price quote,4.23,2,0,synthetic_demo
L007248,2025-09-03,Manufacturing,51-200,Bulk order,4.36,2,1,synthetic_demo
L010690,2025-09-03,Construction,201-1000,Supplier request,15.08,6,0,synthetic_demo
L011675,2025-09-03,Manufacturing,51-200,Price quote,59.06,2,0,synthetic_demo
L004802,2025-09-03,Manufacturing,51-200,Product enquiry,35.88,4,1,synthetic_demo
L007928,2025-09-03,Retail,51-200,Supplier request,8.73,1,0,synthetic_demo
L006902,2025-09-03,Healthcare,1-50,Price quote,6.1,2,0,synthetic_demo
L003229,2025-09-03,Healthcare,1-50,Product enquiry,5.73,0,0,synthetic_demo
L002623,2025-09-03,Manufacturing,1001+,Price quote,17.08,4,1,synthetic_demo
L006054,2025-09-04,Manufacturing,1-50,Price quote,11.47,4,0,synthetic_demo
L008751,2025-09-04,Technology,51-200,Bulk order,15.93,3,0,synthetic_demo
L006258,2025-09-04,Manufacturing,51-200,Product enquiry,6.25,1,0,synthetic_demo
L001099,2025-09-04,Construction,201-1000,Bulk order,11.38,1,0,synthetic_demo
L007828,2025-09-04,Manufacturing,1-50,Product enquiry,10.54,1,0,synthetic_demo
L000642,2025-09-04,Technology,51-200,Price quote,2.87,1,0,synthetic_demo
L001214,2025-09-04,Retail,51-200,Bulk order,9.4,3,1,synthetic_demo
L001871,2025-09-04,Retail,51-200,Price quote,7.92,8,0,synthetic_demo
L002100,2025-09-04,Manufacturing,51-200,Product enquiry,21.56,2,0,synthetic_demo
L004199,2025-09-04,Manufacturing,1-50,Price quote,3.23,4,0,synthetic_demo
L009988,2025-09-04,Technology,1-50,Product enquiry,16.73,2,0,synthetic_demo
L004953,2025-09-04,Manufacturing,1001+,Bulk order,4.26,5,1,synthetic_demo
L009531,2025-09-04,Healthcare,1001+,Product enquiry,22.84,4,0,synthetic_demo
L006226,2025-09-04,Manufacturing,201-1000,Supplier request,22.06,5,1,synthetic_demo
L007921,2025-09-04,Technology,1-50,Supplier request,4.65,3,0,synthetic_demo
L010530,2025-09-04,Healthcare,1-50,Bulk order,6.07,3,0,synthetic_demo
L011944,2025-09-04,Manufacturing,1-50,Supplier request,18.61,1,0,synthetic_demo
L007561,2025-09-04,Construction,1-50,Bulk order,6.73,2,1,synthetic_demo
L007476,2025-09-04,Healthcare,201-1000,Product enquiry,8.89,2,0,synthetic_demo
L003949,2025-09-04,Construction,1-50,Supplier request,5.49,2,0,synthetic_demo
L010077,2025-09-04,Healthcare,201-1000,Bulk order,6.59,3,1,synthetic_demo
L010178,2025-09-04,Technology,1-50,Product enquiry,10.94,2,0,synthetic_demo
L007583,2025-09-04,Manufacturing,1-50,Product enquiry,15.05,3,0,synthetic_demo
L007842,2025-09-04,Manufacturing,1001+,Product enquiry,12.48,1,0,synthetic_demo
L008986,2025-09-05,Technology,201-1000,Bulk order,19.46,3,0,synthetic_demo
L007999,2025-09-05,Manufacturing,201-1000,Product enquiry,24.81,1,0,synthetic_demo
L010947,2025-09-05,Construction,51-200,Supplier request,8.96,1,0,synthetic_demo
L005535,2025-09-05,Technology,1-50,Price quote,5.93,3,0,synthetic_demo
L010403,2025-09-05,Healthcare,201-1000,Product enquiry,8.18,3,0,synthetic_demo
L011083,2025-09-05,Manufacturing,51-200,Supplier request,12.01,1,0,synthetic_demo
L006450,2025-09-05,Technology,51-200,Supplier request,12.44,4,0,synthetic_demo
L005165,2025-09-05,Healthcare,201-1000,Product enquiry,8.62,2,1,synthetic_demo
L000278,2025-09-05,Healthcare,201-1000,Supplier request,13.58,2,0,synthetic_demo
L007838,2025-09-05,Technology,51-200,Price quote,8.19,2,0,synthetic_demo
L002269,2025-09-05,Technology,201-1000,Price quote,7.44,1,1,synthetic_demo
L007335,2025-09-05,Retail,201-1000,Supplier request,12.76,2,0,synthetic_demo
L003069,2025-09-05,Technology,1-50,Bulk order,3.22,3,0,synthetic_demo
L006351,2025-09-05,Technology,51-200,Product enquiry,3.67,3,0,synthetic_demo
L002676,2025-09-05,Healthcare,1-50,Bulk order,11.76,3,0,synthetic_demo
L000816,2025-09-05,Construction,51-200,Product enquiry,14.31,0,0,synthetic_demo
L003150,2025-09-05,Manufacturing,1001+,Supplier request,4.03,3,0,synthetic_demo
L000205,2025-09-05,Manufacturing,51-200,Product enquiry,21.37,0,0,synthetic_demo
L008219,2025-09-05,Retail,201-1000,Supplier request,14.61,3,0,synthetic_demo
L005365,2025-09-05,Construction,201-1000,Supplier request,11.75,1,0,synthetic_demo
L011761,2025-09-05,Retail,51-200,Bulk order,15.32,2,0,synthetic_demo
L001134,2025-09-05,Technology,51-200,Supplier request,5.8,0,0,synthetic_demo
L003473,2025-09-05,Healthcare,201-1000,Price quote,3.33,3,1,synthetic_demo
L001617,2025-09-05,Manufacturing,1-50,Bulk order,7.55,2,1,synthetic_demo
L004672,2025-09-05,Retail,1001+,Bulk order,24.52,1,0,synthetic_demo
L005245,2025-09-05,Retail,201-1000,Price quote,6.71,2,1,synthetic_demo
L006004,2025-09-05,Manufacturing,51-200,Product enquiry,24.43,1,1,synthetic_demo
L011702,2025-09-05,Technology,1-50,Price quote,6.26,3,0,synthetic_demo
L009763,2025-09-05,Technology,1-50,Bulk order,2.17,5,0,synthetic_demo
L009445,2025-09-06,Technology,201-1000,Price quote,15.61,2,0,synthetic_demo
L006944,2025-09-06,Healthcare,51-200,Product enquiry,4.25,1,0,synthetic_demo
L010963,2025-09-06,Construction,51-200,Price quote,1.79,0,0,synthetic_demo
L002154,2025-09-06,Technology,1-50,Price quote,12.68,0,0,synthetic_demo
L006814,2025-09-06,Manufacturing,1-50,Bulk order,9.67,1,0,synthetic_demo
L002194,2025-09-06,Manufacturing,1001+,Product enquiry,10.38,4,0,synthetic_demo
L006785,2025-09-06,Technology,1-50,Bulk order,7.94,2,0,synthetic_demo
L003944,2025-09-06,Healthcare,201-1000,Product enquiry,15.74,2,0,synthetic_demo
L010817,2025-09-06,Technology,1-50,Product enquiry,14.38,2,0,synthetic_demo
L008914,2025-09-06,Retail,201-1000,Price quote,14.49,2,0,synthetic_demo
L003905,2025-09-06,Retail,201-1000,Bulk order,21.73,1,0,synthetic_demo
L009417,2025-09-06,Retail,201-1000,Price quote,6.33,0,0,synthetic_demo
L005590,2025-09-06,Healthcare,1-50,Bulk order,1.07,1,1,synthetic_demo
L004659,2025-09-06,Healthcare,201-1000,Price quote,20.44,2,1,synthetic_demo
L000617,2025-09-06,Technology,51-200,Supplier request,3.08,5,0,synthetic_demo
L003613,2025-09-06,Healthcare,51-200,Product enquiry,5.35,0,0,synthetic_demo
L006189,2025-09-06,Healthcare,51-200,Supplier request,6.42,1,0,synthetic_demo
L009987,2025-09-06,Technology,1-50,Price quote,5.47,3,0,synthetic_demo
L005007,2025-09-06,Technology,201-1000,Price quote,10.53,2,0,synthetic_demo
L001097,2025-09-06,Manufacturing,1-50,Supplier request,8.54,4,1,synthetic_demo
L003021,2025-09-06,Retail,201-1000,Bulk order,12.51,1,0,synthetic_demo
L004003,2025-09-06,Construction,1-50,Supplier request,6.83,3,0,synthetic_demo
L003581,2025-09-06,Technology,1-50,Price quote,3.24,1,0,synthetic_demo
L001509,2025-09-06,Manufacturing,1-50,Price quote,5.48,3,0,synthetic_demo
L009515,2025-09-06,Manufacturing,51-200,Bulk order,5.15,3,0,synthetic_demo
L001170,2025-09-06,Manufacturing,1-50,Product enquiry,19.53,5,0,synthetic_demo
L000457,2025-09-06,Construction,1-50,Price quote,7.94,3,1,synthetic_demo
L001301,2025-09-06,Manufacturing,201-1000,Supplier request,1.44,3,0,synthetic_demo
L005046,2025-09-06,Construction,1001+,Price quote,10.37,2,0,synthetic_demo
L008668,2025-09-06,Technology,1001+,Bulk order,21.22,1,0,synthetic_demo
L000568,2025-09-06,Manufacturing,51-200,Supplier request,13.6,2,0,synthetic_demo
L010570,2025-09-06,Construction,51-200,Product enquiry,9.64,2,0,synthetic_demo
L007057,2025-09-06,Construction,51-200,Product enquiry,38.4,2,0,synthetic_demo
L000502,2025-09-06,Construction,1-50,Bulk order,8.85,2,0,synthetic_demo
L008934,2025-09-07,Construction,1001+,Price quote,8.74,1,0,synthetic_demo
L009591,2025-09-07,Technology,51-200,Product enquiry,9.64,1,0,synthetic_demo
L004127,2025-09-07,Healthcare,1001+,Price quote,2.71,3,1,synthetic_demo
L001544,2025-09-07,Manufacturing,1-50,Product enquiry,1.81,5,0,synthetic_demo
L007706,2025-09-07,Healthcare,51-200,Product enquiry,6.33,2,0,synthetic_demo
L006627,2025-09-07,Healthcare,51-200,Product enquiry,9.87,2,0,synthetic_demo
L003269,2025-09-07,Construction,1-50,Price quote,1.9,0,0,synthetic_demo
L004084,2025-09-07,Retail,201-1000,Supplier request,0.98,3,1,synthetic_demo
L007301,2025-09-07,Retail,201-1000,Product enquiry,6.19,3,1,synthetic_demo
L000716,2025-09-07,Manufacturing,1-50,Supplier request,8.87,0,0,synthetic_demo
L006773,2025-09-07,Retail,1-50,Product enquiry,6.72,3,0,synthetic_demo
L010311,2025-09-07,Manufacturing,201-1000,Bulk order,15.52,1,0,synthetic_demo
L005104,2025-09-07,Healthcare,1001+,Supplier request,11.63,5,0,synthetic_demo
L008689,2025-09-07,Manufacturing,201-1000,Price quote,7.41,2,0,synthetic_demo
L005295,2025-09-07,Technology,1-50,Price quote,6.31,2,0,synthetic_demo
L001302,2025-09-07,Healthcare,1001+,Supplier request,3.72,0,0,synthetic_demo
L006166,2025-09-07,Technology,1-50,Bulk order,22.06,4,0,synthetic_demo
L005774,2025-09-07,Healthcare,1-50,Supplier request,5.05,1,0,synthetic_demo
L003978,2025-09-07,Manufacturing,1001+,Supplier request,10.93,3,0,synthetic_demo
L007451,2025-09-07,Manufacturing,201-1000,Supplier request,8.19,4,0,synthetic_demo
L008511,2025-09-07,Retail,1-50,Price quote,21.04,5,0,synthetic_demo
L010529,2025-09-07,Manufacturing,1-50,Price quote,3.54,1,0,synthetic_demo
L005721,2025-09-07,Technology,201-1000,Supplier request,4.95,0,0,synthetic_demo
L000060,2025-09-07,Manufacturing,51-200,Price quote,4.25,2,0,synthetic_demo
L001634,2025-09-07,Technology,1-50,Price quote,1.89,8,0,synthetic_demo
L002862,2025-09-07,Healthcare,201-1000,Price quote,5.69,1,1,synthetic_demo
L010835,2025-09-07,Retail,1001+,Price quote,0.8,3,1,synthetic_demo
L011555,2025-09-07,Technology,201-1000,Price quote,2.8,4,0,synthetic_demo
L002031,2025-09-07,Manufacturing,51-200,Supplier request,13.66,2,0,synthetic_demo
L007165,2025-09-07,Construction,201-1000,Product enquiry,30.52,0,0,synthetic_demo
L006015,2025-09-07,Manufacturing,1-50,Supplier request,19.08,1,0,synthetic_demo
L000703,2025-09-07,Manufacturing,201-1000,Product enquiry,29.22,2,1,synthetic_demo
L008478,2025-09-07,Retail,201-1000,Bulk order,7.43,1,0,synthetic_demo
L006485,2025-09-07,Construction,201-1000,Product enquiry,8.9,1,1,synthetic_demo
L010703,2025-09-07,Manufacturing,1-50,Product enquiry,21.56,5,0,synthetic_demo
L004315,2025-09-07,Manufacturing,1-50,Price quote,10.06,3,0,synthetic_demo
L000097,2025-09-07,Retail,51-200,Price quote,3.48,1,0,synthetic_demo
L008227,2025-09-07,Technology,201-1000,Price quote,16.24,3,0,synthetic_demo
L009661,2025-09-07,Retail,51-200,Price quote,6.56,0,0,synthetic_demo
L008408,2025-09-07,Technology,201-1000,Supplier request,13.63,0,0,synthetic_demo
L011815,2025-09-07,Retail,51-200,Supplier request,29.67,2,0,synthetic_demo
L003764,2025-09-07,Manufacturing,51-200,Price quote,9.06,3,0,synthetic_demo
L003165,2025-09-07,Healthcare,51-200,Product enquiry,5.87,3,0,synthetic_demo
L003227,2025-09-07,Technology,51-200,Product enquiry,13.55,1,0,synthetic_demo
L002689,2025-09-07,Manufacturing,201-1000,Bulk order,17.58,3,1,synthetic_demo
L003786,2025-09-08,Construction,1-50,Price quote,7.67,2,0,synthetic_demo
L005913,2025-09-08,Healthcare,1-50,Product enquiry,23.09,4,0,synthetic_demo
L005897,2025-09-08,Manufacturing,1001+,Bulk order,15.75,1,0,synthetic_demo
L009228,2025-09-08,Technology,1-50,Price quote,24.68,2,0,synthetic_demo
L000350,2025-09-08,Manufacturing,1-50,Bulk order,15.77,2,0,synthetic_demo
L003797,2025-09-08,Healthcare,1-50,Price quote,15.61,1,0,synthetic_demo
L006130,2025-09-08,Manufacturing,51-200,Supplier request,12.38,2,0,synthetic_demo
L009862,2025-09-08,Healthcare,201-1000,Bulk order,8.39,0,0,synthetic_demo
L006432,2025-09-08,Retail,51-200,Supplier request,9.18,0,0,synthetic_demo
L002769,2025-09-08,Technology,1-50,Product enquiry,26.44,2,0,synthetic_demo
L010831,2025-09-08,Technology,201-1000,Product enquiry,7.86,1,0,synthetic_demo
L003237,2025-09-08,Construction,201-1000,Bulk order,13.65,3,1,synthetic_demo
L008007,2025-09-08,Healthcare,201-1000,Price quote,29.47,2,0,synthetic_demo
L007966,2025-09-08,Technology,201-1000,Product enquiry,16.82,5,1,synthetic_demo
L010607,2025-09-08,Retail,1-50,Bulk order,7.59,1,0,synthetic_demo
L009370,2025-09-08,Technology,1001+,Product enquiry,7.84,3,0,synthetic_demo
L010901,2025-09-08,Manufacturing,1-50,Bulk order,2.31,0,0,synthetic_demo
L000531,2025-09-08,Technology,1-50,Supplier request,13.26,3,0,synthetic_demo
L003887,2025-09-08,Construction,1001+,Bulk order,7.41,2,0,synthetic_demo
L010494,2025-09-08,Retail,51-200,Product enquiry,19.49,1,0,synthetic_demo
L002933,2025-09-08,Healthcare,201-1000,Price quote,31.31,1,0,synthetic_demo
L002474,2025-09-08,Healthcare,1-50,Bulk order,13.73,2,0,synthetic_demo
L003385,2025-09-08,Manufacturing,1-50,Price quote,30.93,3,0,synthetic_demo
L000907,2025-09-08,Healthcare,201-1000,Product enquiry,9.88,1,0,synthetic_demo
L009552,2025-09-08,Manufacturing,201-1000,Supplier request,12.43,3,0,synthetic_demo
L005686,2025-09-08,Manufacturing,51-200,Product enquiry,8.43,3,0,synthetic_demo
L000242,2025-09-08,Technology,1-50,Product enquiry,7.08,2,0,synthetic_demo
L008918,2025-09-08,Manufacturing,1-50,Product enquiry,10.94,0,0,synthetic_demo
L007597,2025-09-08,Retail,51-200,Supplier request,14.2,1,0,synthetic_demo
L007129,2025-09-08,Construction,1-50,Product enquiry,25.18,0,0,synthetic_demo
L008742,2025-09-08,Technology,1001+,Price quote,10.37,2,0,synthetic_demo
L004387,2025-09-08,Retail,1-50,Product enquiry,7.53,4,0,synthetic_demo
L001935,2025-09-08,Technology,201-1000,Price quote,5.12,1,0,synthetic_demo
L011382,2025-09-08,Manufacturing,201-1000,Product enquiry,7.28,3,0,synthetic_demo
L005316,2025-09-08,Retail,1001+,Product enquiry,12.78,2,0,synthetic_demo
L005328,2025-09-08,Construction,51-200,Price quote,10.18,2,1,synthetic_demo
L001186,2025-09-08,Technology,1-50,Price quote,25.27,2,0,synthetic_demo
L002176,2025-09-08,Healthcare,51-200,Product enquiry,15.39,2,0,synthetic_demo
L002086,2025-09-08,Manufacturing,51-200,Product enquiry,29.32,4,0,synthetic_demo
L008886,2025-09-08,Manufacturing,51-200,Product enquiry,7.17,2,0,synthetic_demo
L005738,2025-09-08,Technology,201-1000,Product enquiry,9.63,4,0,synthetic_demo
L008174,2025-09-08,Healthcare,51-200,Product enquiry,5.2,2,0,synthetic_demo
L001422,2025-09-08,Retail,201-1000,Price quote,4.93,1,0,synthetic_demo
L005570,2025-09-08,Construction,201-1000,Supplier request,10.66,3,0,synthetic_demo
L008539,2025-09-09,Manufacturing,51-200,Supplier request,6.85,2,0,synthetic_demo
L007190,2025-09-09,Technology,51-200,Supplier request,9.08,3,0,synthetic_demo
L006975,2025-09-09,Healthcare,51-200,Product enquiry,4.18,4,1,synthetic_demo
L003703,2025-09-09,Healthcare,51-200,Supplier request,39.28,2,0,synthetic_demo
L008055,2025-09-09,Construction,201-1000,Product enquiry,3.59,2,0,synthetic_demo
L000678,2025-09-09,Healthcare,201-1000,Price quote,20.13,3,0,synthetic_demo
L006390,2025-09-09,Manufacturing,201-1000,Product enquiry,5.16,1,1,synthetic_demo
L000364,2025-09-09,Manufacturing,201-1000,Product enquiry,10.83,3,0,synthetic_demo
L004080,2025-09-09,Retail,1-50,Price quote,17.77,4,0,synthetic_demo
L004490,2025-09-09,Healthcare,51-200,Price quote,31.16,1,0,synthetic_demo
L010051,2025-09-09,Manufacturing,201-1000,Price quote,3.35,1,1,synthetic_demo
L008592,2025-09-09,Manufacturing,51-200,Bulk order,18.66,1,0,synthetic_demo
L001613,2025-09-09,Technology,51-200,Price quote,9.39,1,0,synthetic_demo
L001496,2025-09-09,Healthcare,51-200,Product enquiry,5.86,2,0,synthetic_demo
L003951,2025-09-09,Retail,51-200,Bulk order,16.62,4,0,synthetic_demo
L006673,2025-09-09,Healthcare,1-50,Price quote,9.65,3,0,synthetic_demo
L003247,2025-09-09,Retail,201-1000,Product enquiry,14.59,2,0,synthetic_demo
L011769,2025-09-09,Manufacturing,51-200,Product enquiry,18.8,3,0,synthetic_demo
L003384,2025-09-09,Healthcare,201-1000,Price quote,5.84,2,0,synthetic_demo
L011644,2025-09-09,Healthcare,1-50,Product enquiry,12.87,4,1,synthetic_demo
L009991,2025-09-09,Retail,1-50,Supplier request,9.63,1,1,synthetic_demo
L006090,2025-09-09,Technology,51-200,Bulk order,6.35,2,0,synthetic_demo
L001195,2025-09-09,Construction,51-200,Price quote,11.42,3,0,synthetic_demo
L001192,2025-09-09,Retail,1001+,Product enquiry,6.87,1,0,synthetic_demo
L003987,2025-09-09,Manufacturing,201-1000,Supplier request,6.98,3,1,synthetic_demo
L011648,2025-09-09,Retail,1001+,Bulk order,15.87,3,0,synthetic_demo
L009617,2025-09-10,Manufacturing,1-50,Product enquiry,10.15,0,0,synthetic_demo
L004303,2025-09-10,Construction,51-200,Bulk order,2.99,2,1,synthetic_demo
L007401,2025-09-10,Healthcare,201-1000,Price quote,10.94,2,0,synthetic_demo
L011145,2025-09-10,Manufacturing,201-1000,Bulk order,5.05,3,1,synthetic_demo
L002034,2025-09-10,Retail,51-200,Supplier request,9.09,3,0,synthetic_demo
L003706,2025-09-10,Manufacturing,1-50,Bulk order,17.27,3,0,synthetic_demo
L011438,2025-09-10,Manufacturing,51-200,Product enquiry,15.0,4,0,synthetic_demo
L006461,2025-09-10,Manufacturing,1-50,Price quote,19.0,2,0,synthetic_demo
L003373,2025-09-10,Construction,1001+,Supplier request,14.26,2,0,synthetic_demo
L008303,2025-09-10,Manufacturing,51-200,Product enquiry,7.52,1,1,synthetic_demo
L010490,2025-09-10,Healthcare,201-1000,Bulk order,14.9,1,0,synthetic_demo
L008449,2025-09-10,Manufacturing,201-1000,Supplier request,8.5,3,0,synthetic_demo
L000461,2025-09-10,Healthcare,201-1000,Supplier request,10.98,2,0,synthetic_demo
L010615,2025-09-10,Healthcare,201-1000,Bulk order,6.39,2,1,synthetic_demo
L011234,2025-09-10,Technology,51-200,Product enquiry,13.52,2,0,synthetic_demo
